,year,charlotte_sale_price,charlotte_ppsf,charlotte_inventory,houston_sale_price,houston_ppsf,houston_inventory,virginia_beach_sale_price,virginia_beach_ppsf,virginia_beach_inventory
0,2020,272626.53,166.79762,72495,252925.025,135.55949419383333,180306.0,287821.0593220339,169.62369935932205,27830.0
1,2021,326185.16,199.53055,54106,286295.81666666665,153.23949623666667,139568.0,341752.5,187.00831969166666,19626.0
2,2022,380727.97,231.72565,46632,308355.075,167.27423520833332,125456.0,351352.86440677964,208.47648279661016,15876.0
3,2023,393108.4,238.74933,45316,309670.0833333333,171.95662888666666,135732.0,412520.11818181816,225.66701227222222,14588.0
4,2024,426767.1,257.4003,58910,328160.0,176.84784760166667,169810.0,407627.2931034483,237.3288518775862,16762.0
