,year,charlotte_sale_price,charlotte_ppsf,charlotte_inventory,charlotte_listing_price,houston_sale_price,houston_ppsf,houston_inventory,houston_listing_price,virginia_beach_sale_price,virginia_beach_ppsf,virginia_beach_inventory,virginia_beach_listing_price
0,2020,272626.53,166.79762,1228.7288135593221,291759.2,252925.025,135.55949419528105,3005.1,299483.2916666667,287821.0593220339,169.62369935323474,471.6949152542373,293343.22033898305
1,2021,326185.16,199.53055,901.7666666666667,339648.03,286295.81666666665,153.2394962318653,2326.133333333333,321082.8333333333,341752.5,187.00831969076464,327.1,313788.10169491527
2,2022,380727.97,231.72565,777.2,384997.5,308355.075,167.27423520884483,2090.9333333333334,338083.3333333333,351352.86440677964,208.47648279641692,269.08474576271186,336505.1724137931
3,2023,393108.4,238.74933,755.2666666666667,403750.0,309670.0833333333,171.956628888518,2262.2,336888.625,412520.11818181816,225.66701226590868,265.23636363636365,363150.0
4,2024,426767.1,257.4003,981.8333333333334,417080.62,328160.0,176.84784759396268,2830.1666666666665,344499.25,407627.2931034483,237.32885188384589,289.0,384129.6034482759
